British name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,Thumbnail,Images,Description
Western Swamphen,,Porphyrio porphyrio,AE,†,,,,,
Baillon's Crake,,Zapornia pusilla,A,†,,,,,
Little Crake,,Zapornia parva,A,†,,,,,
Sandhill Crane,,Antigone canadensis,A,†,,,,,
Crane,Common Crane,Grus grus,AE*,,,,,,
Little Grebe,,Tachybaptus ruficollis,A,,,,,,
Pied-billed Grebe,,Podilymbus podiceps,A,†,,,,,
Red-necked Grebe,,Podiceps grisegena,A,‡,,,,,
Great Crested Grebe,,Podiceps cristatus,A,,,,,,
Slavonian Grebe,Horned Grebe,Podiceps auritus,A,,,,,,
Black-necked Grebe,,Podiceps nigricollis,A,,,,,,
Stone-curlew,Eurasian Stone-curlew,Burhinus oedicnemus,A,,,,,,
Oystercatcher,Eurasian Oystercatcher,Haematopus ostralegus,A,,,,,,
Black-winged Stilt,,Himantopus himantopus,A,,,,,,
Avocet,Pied Avocet,Recurvirostra avosetta,AE,,,,,,
Lapwing,Northern Lapwing,Vanellus vanellus,A,,,,,,
Sociable Plover,Sociable Lapwing,Vanellus gregarius,A,†,,,,,
White-tailed Plover,White-tailed Lapwing,Vanellus leucurus,A,†,,,,,
Golden Plover,European Golden Plover,Pluvialis apricaria,A,,,,,,
Pacific Golden Plover,,Pluvialis fulva,A,†,,,,,
American Golden Plover,,Pluvialis dominica,A,,,,,,
Grey Plover,,Pluvialis squatarola,A,,,,,,
Ringed Plover,Common Ringed Plover,Charadrius hiaticula,A,,,,,,
Semipalmated Plover,,Charadrius semipalmatus,A,†,,,,,
Little Ringed Plover,,Charadrius dubius,A,,,,,,
Killdeer,,Charadrius vociferus,A,†,,,,,
Kentish Plover,,Charadrius alexandrinus,A,†,,,,,
Lesser Sand Plover,,Charadrius mongolus,A,†,,,,,
Greater Sand Plover,,Charadrius leschenaultii,A,†,,,,,
Caspian Plover,,Charadrius asiaticus,A,†,,,,,
Dotterel,Eurasian Dotterel,Charadrius morinellus,A,,,,,,
Upland Sandpiper,,Bartramia longicauda,A,†,,,,,
Whimbrel,,Numenius phaeopus,A,,,,,,
Hudsonian Whimbrel,,Numenius hudsonicus,A,†,,,,,
Little Whimbrel,Little Curlew,Numenius minutus,A,†,,,,,
Eskimo Curlew,,Numenius borealis,B,†,,,,,
Curlew,Eurasian Curlew,Numenius arquata,A,,,,,,
Bar-tailed Godwit,,Limosa lapponica,A,,,,,,
Black-tailed Godwit,,Limosa limosa,A,,,,,,
Hudsonian Godwit,,Limosa haemastica,A,†,,,,,
Turnstone,Ruddy Turnstone,Arenaria interpres,A,,,,,,
Great Knot,,Calidris tenuirostris,A,†,,,,,
Knot,Red Knot,Calidris canutus,A,,,,,,
Ruff,,Calidris pugnax,A,,,,,,
Broad-billed Sandpiper,,Calidris falcinellus,A,†,,,,,
Sharp-tailed Sandpiper,,Calidris acuminata,A,†,,,,,
Stilt Sandpiper,,Calidris himantopus,A,†,,,,,
Curlew Sandpiper,,Calidris ferruginea,A,,,,,,
Temminck's Stint,,Calidris temminckii,A,,,,,,
Long-toed Stint,,Calidris subminuta,A,†,,,,,
Red-necked Stint,,Calidris ruficollis,A,†,,,,,
Sanderling,,Calidris alba,A,,,,,,
Dunlin,,Calidris alpina,A,,,,,,
Purple Sandpiper,,Calidris maritima,A,,,,,,
Baird's Sandpiper,,Calidris bairdii,A,†,,,,,
Little Stint,,Calidris minuta,A,,,,,,
Least Sandpiper,,Calidris minutilla,A,†,,,,,
White-rumped Sandpiper,,Calidris fuscicollis,A,,,,,,
Buff-breasted Sandpiper,,Calidris subruficollis,A,,,,,,
Pectoral Sandpiper,,Calidris melanotos,A,,,,,,
Semipalmated Sandpiper,,Calidris pusilla,A,†,,,,,
Western Sandpiper,,Calidris mauri,A,†,,,,,
Long-billed Dowitcher,,Limnodromus scolopaceus,A,†,,,,,
Short-billed Dowitcher,,Limnodromus griseus,A,†,,,,,
Woodcock,Eurasian Woodcock,Scolopax rusticola,A,,,,,,
Jack Snipe,,Lymnocryptes minimus,A,,,,,,
Great Snipe,,Gallinago media,A,†,,,,,
Snipe,Common Snipe,Gallinago gallinago,A,,,,,,
Wilson's Snipe,,Gallinago delicata,A,†,,,,,
Terek Sandpiper,,Xenus cinereus,A,†,,,,,
Wilson's Phalarope,,Phalaropus tricolor,A,†,,,,,
Red-necked Phalarope,,Phalaropus lobatus,A,,,,,,
Grey Phalarope,Red Phalarope,Phalaropus fulicarius,A,,,,,,
Common Sandpiper,,Actitis hypoleucos,A,,,,,,
Spotted Sandpiper,,Actitis macularius,A,†,,,,,
Green Sandpiper,,Tringa ochropus,A,,,,,,
Solitary Sandpiper,,Tringa solitaria,A,†,,,,,
Grey-tailed Tattler,,Tringa brevipes,A,†,,,,,
Lesser Yellowlegs,,Tringa flavipes,A,,,,,,
Redshank,Common Redshank,Tringa totanus,A,,,,,,
Marsh Sandpiper,,Tringa stagnatilis,A,†,,,,,
Wood Sandpiper,,Tringa glareola,A,,,,,,
Spotted Redshank,,Tringa erythropus,A,,,,,,
Greenshank,Common Greenshank,Tringa nebularia,A,,,,,,
Greater Yellowlegs,,Tringa melanoleuca,A,†,,,,,
Cream-coloured Courser,Cream-colored Courser,Cursorius cursor,A,†,,,,,
Collared Pratincole,,Glareola pratincola,A,†,,,,,
Oriental Pratincole,,Glareola maldivarum,A,†,,,,,
Black-winged Pratincole,,Glareola nordmanni,A,†,,,,,
Kittiwake,Black-legged Kittiwake,Rissa tridactyla,A,,,,,,
Ivory Gull,,Pagophila eburnea,A,†,,,,,
Sabine's Gull,,Xema sabini,A,,,,,,
Slender-billed Gull,,Chroicocephalus genei,A,†,,,,,
Bonaparte's Gull,,Chroicocephalus philadelphia,A,†,,,,,
Black-headed Gull,,Chroicocephalus ridibundus,A,,,,,,
Little Gull,,Hydrocoloeus minutus,A,,,,,,
Ross's Gull,,Rhodostethia rosea,A,†,,,,,
Laughing Gull,,Leucophaeus atricilla,A,†,,,,,
Franklin's Gull,,Leucophaeus pipixcan,A,†,,,,,
Audouin's Gull,,Ichthyaetus audouinii,A,†,,,,,
Mediterranean Gull,,Ichthyaetus melanocephalus,A,,,,,,
Great Black-headed Gull,Pallas's Gull,Ichthyaetus ichthyaetus,B,†,,,,,
Common Gull,Mew Gull,Larus canus,A,,,,,,
Ring-billed Gull,,Larus delawarensis,A,,,,,,
Great Black-backed Gull,,Larus marinus,A,,,,,,
Glaucous-winged Gull,,Larus glaucescens,A,†,,,,,
Glaucous Gull,,Larus hyperboreus,A,,,,,,
Iceland Gull,,Larus glaucoides,A,‡,,,,,
Herring Gull,European Herring Gull,Larus argentatus,A,,,,,,
American Herring Gull,,Larus smithsonianus,A,†,,,,,
Caspian Gull,,Larus cachinnans,A,,,,,,
Yellow-legged Gull,,Larus michahellis,A,‡,,,,,
Slaty-backed Gull,,Larus schistisagus,A,†,,,,,
Lesser Black-backed Gull,,Larus fuscus,A,‡,,,,,
Gull-billed Tern,,Gelochelidon nilotica,A,†,,,,,
Caspian Tern,,Hydroprogne caspia,A,†,,,,,
Royal Tern,,Thalasseus maximus,A,†,,,,,
Lesser Crested Tern,,Thalasseus bengalensis,A,†,,,,,
Sandwich Tern,,Thalasseus sandvicensis,A,,,,,,
Cabot's Tern,,Thalasseus acuflavidus,A,†,,,,,
Elegant Tern,,Thalasseus elegans,A,†,,,,,
Little Tern,,Sternula albifrons,A,,,,,,
Least Tern,,Sternula antillarum,A,†,,,,,
Aleutian Tern,,Onychoprion aleuticus,A,†,,,,,
Bridled Tern,,Onychoprion anaethetus,A,†,,,,,
Sooty Tern,,Onychoprion fuscatus,A,†,,,,,
Roseate Tern,,Sterna dougallii,A,,,,,,
Common Tern,,Sterna hirundo,A,,,,,,
Arctic Tern,,Sterna paradisaea,A,,,,,,
Forster's Tern,,Sterna forsteri,A,†,,,,,
Whiskered Tern,,Chlidonias hybrida,A,†,,,,,
White-winged Black Tern,White-winged Tern,Chlidonias leucopterus,A,,,,,,
Black Tern,,Chlidonias niger,A,‡,,,,,
Great Skua,,Stercorarius skua,A,,,,,,
Pomarine Skua,Pomarine Jaeger,Stercorarius pomarinus,A,,,,,,
Arctic Skua,Parasitic Jaeger,Stercorarius parasiticus,A,,,,,,
Long-tailed Skua,Long-tailed Jaeger,Stercorarius longicaudus,A,,,,,,
Little Auk,,Alle alle,A,‡,,,,,
Brünnich's Guillemot,Thick-billed Murre,Uria lomvia,A,†,,,,,
Common Guillemot,Common Murre,Uria aalge,A,,,,,,
Razorbill,,Alca torda,A,,,,,,
Great Auk,,Pinguinus impennis,B,Extinct,,,,,
Black Guillemot,,Cepphus grylle,A,‡,,,,,
Long-billed Murrelet,,Brachyramphus perdix,A,†,,,,,
Ancient Murrelet,,Synthliboramphus antiquus,A,†,,,,,
Puffin,Atlantic Puffin,Fratercula arctica,A,,,,,,
Tufted Puffin,,Fratercula cirrhata,A,†,,,,,
Red-billed Tropicbird,,Phaethon aethereus,AE,†,,,,,
Red-throated Diver,Red-throated Loon,Gavia stellata,A,,,,,,
Black-throated Diver,Black-throated Loon,Gavia arctica,A,,,,,,
Pacific Diver,Pacific Loon,Gavia pacifica,A,†,,,,,
Great Northern Diver,Common Loon,Gavia immer,A,,,,,,
White-billed Diver,Yellow-billed Loon,Gavia adamsii,A,,,,,,
Wilson's Petrel,Wilson's Storm Petrel,Oceanites oceanicus,A,,,,,,
White-faced Storm Petrel,,Pelagodroma marina,B,†,,,,,
Black-browed Albatross,,Thalassarche melanophris,A,†,,,,,
Atlantic Yellow-nosed Albatross,,Thalassarche chlororhynchos,A,†,,,,,
Storm Petrel,European Storm Petrel,Hydrobates pelagicus,A,,,,,,
Swinhoe's Petrel,Swinhoe's Storm Petrel,Oceanodroma monorhis,A,†,,,,,
Leach's Petrel,Leach's Storm Petrel,Oceanodroma leucorhoa,A,,,,,,
Fulmar,Northern Fulmar,Fulmarus glacialis,A,,,,,,
Black-capped Petrel,,Pterodroma hasitata,A,†,,,,,
Scopoli's Shearwater,,Calonectris diomedea,A,†,,,,,
Cory's Shearwater,,Calonectris borealis,A,,,,,,
